name,latitude,longitude
"Taste of Guang Xi",43.8487721,-79.3478068
"Flaming Kitchen",43.8484876,-79.3479949
"One Shot BBQ",43.8484072,-79.3488267
"Green Tea Restaurant",43.8484179,-79.3487278
"Terre Rouge",43.8493203,-79.3258843
"India Sweets & Restaurant",43.8407323,-79.2527063
"Happy BBQ",43.8425655,-79.3057929
"Main Sushi",43.8791577,-79.2613386
"The Indian Kitchen",43.8062135,-79.4212096
"Symposium Cafe Restaurant Markham",43.8967684,-79.319154
"Indias Taste",43.8248172,-79.3395648
"Nando's",43.8519172,-79.3590497
"Bento Sushi",43.8524281,-79.3591747
"Sunset Grill",43.852907,-79.3592304
"Wimpy's Diner",43.8128155,-79.3586873
"Oshio Japanese Restaurant",43.8129597,-79.3579866
"Swiss Chalet",43.8702167,-79.2869067
"Noble Seafood Chinese Cuisine",43.8319365,-79.307508
"Kore Chicken",43.8558005,-79.3039396
"Kinton Ramen",43.8425862,-79.388034
"Cho San Sushi",43.8466294,-79.3578085
"Itto Ramen",43.8894544,-79.3151649
"Pho Metro",43.8893611,-79.3151156
"Superpig Chinese BBQ Restaurant",43.8893245,-79.3150941
"Pine Tree Garden Restaurant",43.889265,-79.3163057
"Dayali Beijing Roast Duck",43.8244326,-79.3268368
"La Viet",43.90438,-79.2691287
"Delight Restaurant & BBQ",43.9044437,-79.2680532
"Sunset Grill",43.9028507,-79.2673268
"Li Dynasty",43.9030355,-79.2673704
"Sushi Sushi",43.9049926,-79.267844
"Mr. Chin",43.8607805,-79.3112375
"Mr. Jerk",43.8608084,-79.3111664
"Hibiki",43.8613199,-79.3115404
"Olde Village Bistro",43.8612158,-79.3117254
"Warrich Meats",43.8951992,-79.2652744
"Greek Stop",43.8951889,-79.2653842
"Matsuya",43.894082,-79.2632842
"The King's Kitchen",43.8938246,-79.2630122
"Eggsmart",43.8922206,-79.2647337
"Ai Sushi",43.8920478,-79.2653183
"Bellafornia",43.8028931,-79.4196574
"Sushi Bong",43.8037332,-79.4199256
"Montana's",43.8852837,-79.371922
"Freshii",43.8520195,-79.359082
"Hunan Restaurant",43.82047,-79.3983027
"Chicken Mymy",43.8069664,-79.4218235
"Minoo",43.8237088,-79.4257595
"Lanna Cuisine",43.8500289,-79.3247678
"Win's Seafood Restaurant",43.8717795,-79.3436226
"Demetres Downtown Markham",43.849912,-79.32318
"Koi Sakana Ramen",43.8863505,-79.3734294
"Hakka Legend",43.8487371,-79.2533171
"Pho Quinn Authentic Vietnamese Cuisine",43.8682597,-79.2833226
"Chloe’s Garden Restaurant 荔園餐廳",43.8540592,-79.3368995
"Yunshang Rice Noodle",43.8210635,-79.3266982
"General Tso's Kitchen",43.7993357,-79.4201157
"Sinjeon Foodsys",43.7994891,-79.4201606
"Xin Chao Vietnamese Cuisine",43.7995987,-79.4201928
"S'en Vietnamese Cuisine",43.8253397,-79.3063596
"nam2 Vietnamese",43.8605229,-79.3043612
"Manna Kitchen 瑪娜廚房",43.8611134,-79.3036806
"Mr. Congee 龍粥記",43.8604649,-79.3035264
"Sushi Tenon Vegetarian Cuisine",43.8600174,-79.3033531
"Top Choice Restaurant 阿一小廚",43.8599932,-79.3034904
"CupCake Junkie",43.8836464,-79.2613301
"N/A",43.8206586,-79.3264903
"Fortune Stone Restaurant",43.8200521,-79.3255303
"Sakura Sushi",43.8203645,-79.3256103
"Donburi ドンプリ",43.8420126,-79.3860767
"蜀香苑川菜馆 Szechuan Legend Restaurant",43.8419966,-79.3861737
"真東北餃子館 Chinese Dumpling House",43.8419788,-79.3862754
"西北樓 Shaanxi Restaurant",43.841961,-79.386374
"Asian Legend 味香村",43.8420077,-79.3870072
"Korean Grill House 髙養村",43.8421166,-79.3871628
"Du Hsiao Yueh",43.8210412,-79.3254146
"Momo Koko",43.8212722,-79.3255528
"BAO EXPRESS",43.8224692,-79.3257902
"Dagu Rice Noodle Markham",43.8246839,-79.3261012
"JIYU Thai Seafood Hot Pot",43.8245314,-79.326398
"Lucky Noodle",43.8337017,-79.3068573
"Lobster Port Restaurant",43.8264606,-79.3509801
"N/A",43.8201085,-79.3252284
"N/A",43.8201472,-79.3252277
"Yin Ji Chang Fen (Rice Noodle Roll)",43.8203155,-79.3252626
"Yin Ji Chang Fen",43.8648029,-79.2926381
"Fu Kee Bao Dim",43.8649539,-79.2919974
"Bento sushi",43.8135155,-79.3984629
