name,address
"Stonefire Bar & Grill","8700, Bathurst Street, Thornhill, Ontario, L4J 9J8"
"Freshii","9360, Bathurst Street, Maple, Ontario, L6A 4N9"
"Viva Pizza + Pasta",""
"Al's Pizzeria and Grill",""
"Pizza Hut","10, Headdon Gate, Richmond Hill, Ontario, L4C 8A2"
"Stragonoff","10, Headdon Gate, Richmond Hill, Ontario, L4C 8A2"
"Dynasty","10, Headdon Gate, Richmond Hill, Ontario, L4C 8A2"
"China Court",""
"Summer House",""
"Ginza Sushi",""
"Cho Sun Ok",""
"Jiwon Green Korean Restaurant",""
"Legend Chinese Restaurant",""
"Paramount Fine Foods",""
"Lobster Royale",""
"Indian Kitchen",""
"Sunny Dragon",""
"Momo Yama",""
"Congee Queen","6464, Yonge Street, North York"
"The Indian Kitchen",""
"Pickle Barrel","6464, Yonge Street"
"Chicken Mymy",""
"Xe Lau","180, Steeles Avenue West, Vaughan, Ontario, L4J 2L1"
"General Tso's Kitchen",""
"Sinjeon Foodsys",""
"Xin Chao Vietnamese Cuisine",""
"Jung Soo Ne Bonga",""
"Tao’s Chinese Kitchen",""
"The Indian Cuisine",""
"Sababa Restaurant",""
"Seoul House","180, Steeles Avenue West, Thornhill, Ontario, L4J 2L1"
"Red Lobster","7291, Yonge Street, Markham"
"TERRA Restaurant & Catering",""
"Symposium Cafe Restaurant Thornhill","8187, Yonge Street, Thornhill, L3T 2C6"
"Philoxenia","8199, Yonge Street"
"Steve's Restaurant",""
"Panto's Italian Cuisine",""
"Royal Orchard Thai Cuisine",""
"Eggsmart",""
"Chinese Gourmet",""
"Akbar Joojeh",""
"Yorokobi Japanese Restaurant","601, Clark Avenue West, L4J 4E5"
"Kish Restaurant",""
"Minoo",""
"The Octagon Steakhouse",""
"Il Fornello",""
"Abruzzo Pizza","9010, Yonge Street"
"Woody Wood Burger","8950, Yonge Street"
"Pizza Hut",""
"Roses Kebab Land",""
"Aashland Persian Cuisine",""
"Milestones",""
"Montana's","8735, Yonge Street, Richmond Hill, ON"
"Kelsey's","8715, Yonge Street"
"Mr. Congee",""
"Hong Dae Korean Restaurant","9184, Yonge Street"
"Kim Po Vietnamese Cuisine",""
"Kazan Table BBQ",""
"Nando's",""
"Shishli Grill & Restaurant","9555, Yonge Street, Richmond Hill, Ontario"
"Persia Restaurant",""
"Choice of the Orient Chinese Restaurant 潮茶檔","9555, Yonge Street, Richmond Hill, Ontario"
"Sansotei Ramen","9555, Yonge Street, Richmond Hill, Ontario"
"Pho Tai Bac","9555, Yonge Street, Richmond Hill, Ontario"
"Chillax & Co. Bistro + Brunch",""
"Tomo Sushi",""
"Super Arzon",""
"Roses Senso Café & Bites","9218, Yonge Street"
"Ramona’s Kitchen",""
"Kaiyo Sushi",""
"Dorchin Kebab",""
"Angry Wings",""
"Michi Sushi",""
"Paisano's",""
"Trio 3",""
"Shoeless Joe's",""
"Armando's Authentic Italian Cuisine",""
"Moxie's",""
"Cafe Palma",""
"Sushi One",""
"Tandoori House Indian Cuisine",""
"Lee Namjang Korean Restaurant","4846"
"Kenzo",""
"EAT BKK Thai Kitchen","4704, Yonge Street, Toronto, M2N 5M4"
